protein name,invasive counts,invasive fraction,non-invasive counts,non-invasive fraction
B1ALH6,3,0.00459,0,0.0
B4DLN5,4,0.00612,5,0.01736
MERL,1,0.00153,3,0.01042
Q5JVD3,1,0.00153,1,0.00347
G3V533,1,0.00153,0,0.0
C9JAP0,6,0.00917,6,0.02083
FEN1,12,0.01835,11,0.03819
B4DVQ3,5,0.00765,5,0.01736
B1AL33,1,0.00153,0,0.0
CGBP1,2,0.00306,0,0.0
ADPPT,14,0.02141,6,0.02083
KCTD2,1,0.00153,0,0.0
B5MCF9,39,0.05963,29,0.10069
E9PRM7,17,0.02599,17,0.05903
MMP14,3,0.00459,3,0.01042
CB078,1,0.00153,1,0.00347
CT085,0,0.0,1,0.00347
E9PF99,1,0.00153,0,0.0
E5RHM9,1,0.00153,1,0.00347
S10AC,28,0.04281,25,0.08681
PRP39,11,0.01682,3,0.01042
E9PIV9,2,0.00306,2,0.00694
MPPA,89,0.13609,49,0.17014
B4DF52,20,0.03058,13,0.04514
D6R9H8,1,0.00153,1,0.00347
C9JA69,0,0.0,1,0.00347
RASF5,2,0.00306,1,0.00347
ANXA9,5,0.00765,0,0.0
H0YJH5,0,0.0,1,0.00347
B4DS69,67,0.10245,45,0.15625
MOCOS,1,0.00153,1,0.00347
PO210,162,0.24771,103,0.35764
C9JX83,23,0.03517,14,0.04861
J3KP29,17,0.02599,11,0.03819
G8JLC6,50,0.07645,44,0.15278
E9PP73,237,0.36239,137,0.47569
E5RFG6,1,0.00153,2,0.00694
J3KT86,1,0.00153,0,0.0
F8WCA1,1,0.00153,1,0.00347
H0Y8N8,2,0.00306,0,0.0
B4DNI8,1,0.00153,1,0.00347
NAL14,3,0.00459,1,0.00347
C9J840,1,0.00153,2,0.00694
IRX6,0,0.0,2,0.00694
E9PIM3,8,0.01223,5,0.01736
GGH,206,0.31498,120,0.41667
K7EKY9,1,0.00153,2,0.00694
SO5A1,1,0.00153,0,0.0
G3V1K0,52,0.07951,35,0.12153
H0YAN0,0,0.0,1,0.00347
PDE4B,1,0.00153,1,0.00347
H0YAB2,1,0.00153,2,0.00694
CO6A1,345,0.52752,207,0.71875
SNG2L,57,0.08716,38,0.13194
H0Y6F8,7,0.0107,2,0.00694
E9PJH7,16,0.02446,8,0.02778
ZC3H4,1,0.00153,1,0.00347
RBM19,3,0.00459,2,0.00694
F5H2U2,63,0.09633,37,0.12847
D6RFW3,3,0.00459,2,0.00694
GSHB,18,0.02752,10,0.03472
J3QTP8,103,0.15749,56,0.19444
NUAK2,1,0.00153,1,0.00347
E9PIM5,1,0.00153,0,0.0
DJC10,53,0.08104,35,0.12153
THS7A,1,0.00153,1,0.00347
J3QKT1,7,0.0107,1,0.00347
E9PBK7,34,0.05199,19,0.06597
SBNO1,30,0.04587,13,0.04514
IFT57,3,0.00459,0,0.0
B3GN3,19,0.02905,13,0.04514
RAB21,114,0.17431,64,0.22222
MLF1,1,0.00153,0,0.0
F101A,1,0.00153,0,0.0
K7EL20,102,0.15596,55,0.19097
C9J2Z4,145,0.22171,89,0.30903
ANM8,0,0.0,1,0.00347
B7Z5N8,2,0.00306,0,0.0
