protein name,invasive counts,invasive fraction,non-invasive counts,non-invasive fraction
F5H4L7,133,0.20336,74,0.25694
F5GXI6,21,0.03211,16,0.05556
F5GX91,2,0.00306,0,0.0
MESD,22,0.03364,20,0.06944
J3KPB0,1,0.00153,0,0.0
A6NE76,67,0.10245,37,0.12847
C9J9M8,1,0.00153,0,0.0
U520,217,0.3318,135,0.46875
H7C4A9,13,0.01988,4,0.01389
H7BYL6,4,0.00612,4,0.01389
J3KTG2,8,0.01223,15,0.05208
ZNRF2,7,0.0107,3,0.01042
CCD38,2,0.00306,0,0.0
NOD2,1,0.00153,0,0.0
H7C010,1,0.00153,0,0.0
J3KPT4,5,0.00765,3,0.01042
UBP12,2,0.00306,4,0.01389
NALCN,2,0.00306,2,0.00694
TMED9,170,0.25994,111,0.38542
DPM3,25,0.03823,16,0.05556
Q5VZU1,3,0.00459,2,0.00694
B3KR61,7,0.0107,3,0.01042
I17RD,0,0.0,1,0.00347
C9JC32,1,0.00153,1,0.00347
VNN1,3,0.00459,3,0.01042
LCN15,7,0.0107,11,0.03819
SCAM4,21,0.03211,14,0.04861
C9J5D1,38,0.0581,26,0.09028
GSHR,85,0.12997,58,0.20139
H7C4G5,63,0.09633,41,0.14236
CP1B1,0,0.0,1,0.00347
B3GT6,0,0.0,1,0.00347
B7Z403,174,0.26606,106,0.36806
FBW10,0,0.0,1,0.00347
CY15B,1,0.00153,2,0.00694
C9J1B1,25,0.03823,17,0.05903
HIS3,1,0.00153,0,0.0
ANO6,5,0.00765,2,0.00694
A6QRG9,12,0.01835,5,0.01736
M0QZW0,2,0.00306,0,0.0
CRTC3,1,0.00153,0,0.0
F8WA96,3,0.00459,1,0.00347
B1AN89,2,0.00306,0,0.0
D6R9Z7,29,0.04434,17,0.05903
CN166,65,0.09939,39,0.13542
H3BNP8,1,0.00153,0,0.0
A2SY06,1,0.00153,0,0.0
AT131,90,0.13761,58,0.20139
J3QSB5,44,0.06728,27,0.09375
CY24B,12,0.01835,8,0.02778
LEG2,1,0.00153,0,0.0
OBRG,2,0.00306,1,0.00347
E7EUG6,28,0.04281,18,0.0625
F5GXT2,0,0.0,1,0.00347
F5H1R4,4,0.00612,9,0.03125
J3QRE1,1,0.00153,1,0.00347
H7C2A1,3,0.00459,0,0.0
A6NFV8,14,0.02141,12,0.04167
SETD2,1,0.00153,1,0.00347
ATPO,44,0.06728,34,0.11806
TJAP1,1,0.00153,0,0.0
E9PHI6,67,0.10245,41,0.14236
Q5TA58,26,0.03976,13,0.04514
CA122,1,0.00153,2,0.00694
ADIRF,9,0.01376,0,0.0
C9J8N6,82,0.12538,51,0.17708
KLF16,3,0.00459,0,0.0
GRIN3,0,0.0,1,0.00347
E9PLB2,45,0.06881,26,0.09028
E9PM39,1,0.00153,0,0.0
F8VUG2,260,0.39755,166,0.57639
TMM8A,2,0.00306,0,0.0
E9PIY6,0,0.0,3,0.01042
TNAP2,5,0.00765,5,0.01736
E9PMA8,1,0.00153,0,0.0
B8ZZF6,51,0.07798,33,0.11458
F8VWT9,3,0.00459,2,0.00694
H7C450,1,0.00153,0,0.0
ITAM,106,0.16208,68,0.23611
F5GXM1,68,0.10398,43,0.14931
E7EN67,2,0.00306,1,0.00347
E7EN46,2,0.00306,1,0.00347
M0QYW5,4,0.00612,2,0.00694
PCDA5,4,0.00612,0,0.0
C9J8B4,9,0.01376,5,0.01736
C9JAK5,126,0.19266,77,0.26736
E9PMR6,10,0.01529,3,0.01042
C9J9X7,1,0.00153,0,0.0
RIPK1,44,0.06728,32,0.11111
E9PJG8,14,0.02141,12,0.04167
ARP3B,2,0.00306,0,0.0
C9J9G2,1,0.00153,0,0.0
B4E1S6,1,0.00153,0,0.0
D6REN0,0,0.0,1,0.00347
E7EMS6,100,0.15291,69,0.23958
B0AZS3,0,0.0,1,0.00347
F8VS61,1,0.00153,0,0.0
C9IY70,7,0.0107,3,0.01042
E9PMH2,72,0.11009,36,0.125
THSD4,4,0.00612,3,0.01042
H0Y764,16,0.02446,17,0.05903
E7EPN8,1,0.00153,0,0.0
RPA49,10,0.01529,5,0.01736
H0YC24,0,0.0,1,0.00347
E7EMK3,124,0.1896,78,0.27083
MAP7,51,0.07798,36,0.125
E9PR28,0,0.0,2,0.00694
K7EIT0,3,0.00459,1,0.00347
E5RH41,4,0.00612,0,0.0
E7EP56,2,0.00306,1,0.00347
B1APP6,99,0.15138,64,0.22222
E5RIY1,36,0.05505,20,0.06944
F8WFE0,7,0.0107,4,0.01389
D6RJ90,0,0.0,1,0.00347
RM53,29,0.04434,11,0.03819
COR2B,2,0.00306,0,0.0
D6REM5,0,0.0,1,0.00347
C9JIN9,5,0.00765,3,0.01042
B1B0M1,23,0.03517,29,0.10069
B4DDG6,1,0.00153,0,0.0
EFNA4,0,0.0,1,0.00347
ITB5,8,0.01223,1,0.00347
E9PED7,5,0.00765,0,0.0
ZN251,1,0.00153,0,0.0
H7BYM6,64,0.09786,36,0.125
H0YBN5,12,0.01835,7,0.02431
HXD13,1,0.00153,0,0.0
Q8N8C4,1,0.00153,0,0.0
M0R1T2,1,0.00153,1,0.00347
TGM4,2,0.00306,0,0.0
IFRD1,0,0.0,1,0.00347
NDUB3,6,0.00917,4,0.01389
FIP1,56,0.08563,40,0.13889
H0YKM4,1,0.00153,0,0.0
Q75MJ1,23,0.03517,18,0.0625
PLCG2,6,0.00917,9,0.03125
F5GWD2,114,0.17431,82,0.28472
J3QLR7,20,0.03058,15,0.05208
J3KQB2,2,0.00306,0,0.0
F5GY78,5,0.00765,9,0.03125
SE1L3,9,0.01376,6,0.02083
E5RIN2,19,0.02905,5,0.01736
F5H0M4,12,0.01835,12,0.04167
TXLNA,30,0.04587,28,0.09722
F6U784,34,0.05199,19,0.06597
IHH,1,0.00153,0,0.0
E9PIS4,21,0.03211,13,0.04514
F8W9U3,17,0.02599,13,0.04514
F167A,2,0.00306,1,0.00347
RSPRY,2,0.00306,2,0.00694
ASCL2,0,0.0,1,0.00347
H7C0G8,0,0.0,1,0.00347
KFA,1,0.00153,1,0.00347
A6NGQ3,4,0.00612,3,0.01042
Q5R3K2,0,0.0,3,0.01042
MAFF,1,0.00153,0,0.0
B4DNM9,54,0.08257,27,0.09375
HXA2,2,0.00306,0,0.0
HECW2,1,0.00153,1,0.00347
H7C094,1,0.00153,0,0.0
F5H6S6,0,0.0,1,0.00347
D6REZ4,1,0.00153,0,0.0
PARP4,237,0.36239,136,0.47222
B5MBX2,1,0.00153,0,0.0
ZC3H3,1,0.00153,0,0.0
ZN610,1,0.00153,0,0.0
K7EIT3,2,0.00306,1,0.00347
MPRIP,9,0.01376,6,0.02083
B4DPK1,1,0.00153,0,0.0
MINA,4,0.00612,3,0.01042
GPC5,1,0.00153,0,0.0
I3L2J3,1,0.00153,0,0.0
H7BZU1,29,0.04434,17,0.05903
M0QZ70,11,0.01682,4,0.01389
H0YK72,13,0.01988,8,0.02778
B4DX10,0,0.0,1,0.00347
K7EIV0,140,0.21407,88,0.30556
ZN800,2,0.00306,0,0.0
GP180,0,0.0,1,0.00347
TSNAX,23,0.03517,13,0.04514
M0QYH0,12,0.01835,7,0.02431
ASIC2,2,0.00306,0,0.0
D6RAG9,0,0.0,1,0.00347
F8WC57,40,0.06116,18,0.0625
B7Z452,16,0.02446,9,0.03125
EED,0,0.0,1,0.00347
K7ELV1,1,0.00153,0,0.0
E9PBR5,17,0.02599,10,0.03472
B7Z321,74,0.11315,42,0.14583
P53,1,0.00153,0,0.0
HRCT1,1,0.00153,1,0.00347
Q2TB82,2,0.00306,1,0.00347
UGDH,239,0.36544,146,0.50694
E5RFG3,49,0.07492,28,0.09722
BBS12,15,0.02294,5,0.01736
NDUB6,13,0.01988,14,0.04861
K7EJ49,3,0.00459,2,0.00694
F5H785,4,0.00612,4,0.01389
ZN490,1,0.00153,0,0.0
B4DX42,72,0.11009,47,0.16319
CD34,1,0.00153,0,0.0
CKAP4,365,0.5581,216,0.75
ABC3D,1,0.00153,1,0.00347
KI67,81,0.12385,43,0.14931
C9JT55,2,0.00306,1,0.00347
F5H0G8,1,0.00153,1,0.00347
H7BYF2,39,0.05963,22,0.07639
A6NHC7,1,0.00153,0,0.0
H0YJD0,0,0.0,1,0.00347
E9PGT6,24,0.0367,16,0.05556
DNJC1,15,0.02294,9,0.03125
F8WBJ6,22,0.03364,8,0.02778
TNNI2,1,0.00153,0,0.0
C9J4Z3,147,0.22477,103,0.35764
VAPB,48,0.07339,32,0.11111
F5H345,16,0.02446,15,0.05208
CAN6,2,0.00306,0,0.0
E7ERH5,50,0.07645,31,0.10764
E9PNU4,7,0.0107,2,0.00694
MSPD2,13,0.01988,2,0.00694
B4DH42,3,0.00459,0,0.0
AGAL,10,0.01529,9,0.03125
H3BMJ2,1,0.00153,1,0.00347
F8W8V9,21,0.03211,10,0.03472
H0YH34,1,0.00153,0,0.0
D6RCL5,2,0.00306,0,0.0
E5RH21,1,0.00153,1,0.00347
GRPE1,96,0.14679,61,0.21181
KCE1L,1,0.00153,0,0.0
SCLY,3,0.00459,2,0.00694
H7BZ35,109,0.16667,69,0.23958
F8VPD4,294,0.44954,175,0.60764
H0YCH8,0,0.0,1,0.00347
ZBT16,1,0.00153,0,0.0
ZN628,0,0.0,1,0.00347
ECHD1,80,0.12232,54,0.1875
MYOD1,0,0.0,1,0.00347
H0YLB5,0,0.0,1,0.00347
K7EIY2,0,0.0,1,0.00347
J3KSK6,3,0.00459,2,0.00694
MGST2,45,0.06881,28,0.09722
H0YLG5,28,0.04281,18,0.0625
PTGES,4,0.00612,1,0.00347
B4DYU0,1,0.00153,1,0.00347
H7C0B3,0,0.0,1,0.00347
E5RIP1,37,0.05657,26,0.09028
A8MX49,9,0.01376,9,0.03125
Q5T670,1,0.00153,0,0.0
K7EKB2,13,0.01988,3,0.01042
RIF1,4,0.00612,1,0.00347
H3BR83,1,0.00153,0,0.0
E9PN02,3,0.00459,1,0.00347
B4DEM1,2,0.00306,0,0.0
MAGBA,0,0.0,1,0.00347
CRCM1,0,0.0,5,0.01736
CAPG,54,0.08257,33,0.11458
C9JF51,20,0.03058,12,0.04167
G3XAH6,1,0.00153,2,0.00694
APC7,19,0.02905,9,0.03125
UBXN4,30,0.04587,25,0.08681
H0YMW7,7,0.0107,1,0.00347
A8MY76,53,0.08104,31,0.10764
B5MDL5,6,0.00917,4,0.01389
E5RFE4,2,0.00306,1,0.00347
LEUTX,2,0.00306,1,0.00347
SNF8,26,0.03976,18,0.0625
U17L3,13,0.01988,8,0.02778
B1ANM0,33,0.05046,22,0.07639
BCOR,1,0.00153,0,0.0
A2A2G5,4,0.00612,1,0.00347
H0YKX0,0,0.0,2,0.00694
F5H855,10,0.01529,7,0.02431
C9JMU5,265,0.4052,165,0.57292
B7ZLH2,1,0.00153,0,0.0
E5RGZ4,1,0.00153,1,0.00347
OR4FL,2,0.00306,2,0.00694
K1467,0,0.0,1,0.00347
DZI1L,1,0.00153,0,0.0
RAB23,17,0.02599,14,0.04861
B7Z5P9,4,0.00612,1,0.00347
H7BZR6,2,0.00306,2,0.00694
H0YKS1,4,0.00612,0,0.0
H0YJ75,19,0.02905,12,0.04167
NDUS4,16,0.02446,7,0.02431
H3BPR8,2,0.00306,1,0.00347
H0Y8F1,2,0.00306,1,0.00347
PSB3,2,0.00306,4,0.01389
PERE,294,0.44954,187,0.64931
H9KVA9,14,0.02141,11,0.03819
H3BQV5,0,0.0,3,0.01042
E5RFU6,14,0.02141,10,0.03472
C9JQG7,2,0.00306,0,0.0
C9JQE6,1,0.00153,2,0.00694
D3YTE6,34,0.05199,16,0.05556
H0YAD3,0,0.0,1,0.00347
B0QYV1,1,0.00153,0,0.0
H7C078,3,0.00459,1,0.00347
E9PE01,12,0.01835,7,0.02431
ADA20,0,0.0,1,0.00347
C9JB63,28,0.04281,15,0.05208
SCAM1,28,0.04281,13,0.04514
RT24,16,0.02446,9,0.03125
S12A7,1,0.00153,2,0.00694
F5GZJ1,6,0.00917,2,0.00694
RAB38,1,0.00153,1,0.00347
H0YFA7,27,0.04128,11,0.03819
H0YGW0,1,0.00153,0,0.0
E9PMI6,0,0.0,1,0.00347
E7ES21,68,0.10398,61,0.21181
C9JM75,1,0.00153,3,0.01042
H0Y5U1,37,0.05657,13,0.04514
PB1,3,0.00459,2,0.00694
PCD20,0,0.0,1,0.00347
ZBT11,0,0.0,1,0.00347
E7ETY4,35,0.05352,18,0.0625
DACH1,2,0.00306,3,0.01042
DEF4,16,0.02446,13,0.04514
AUTS2,0,0.0,1,0.00347
5HT2A,1,0.00153,1,0.00347
H0YAN5,1,0.00153,0,0.0
FAF2,85,0.12997,56,0.19444
C9JC84,360,0.55046,226,0.78472
C9JLT1,19,0.02905,16,0.05556
F2Z3B8,4,0.00612,5,0.01736
ZFY16,4,0.00612,3,0.01042
SCND1,0,0.0,1,0.00347
PHOCN,31,0.0474,21,0.07292
ATRN1,1,0.00153,0,0.0
HES7,4,0.00612,1,0.00347
C9JA33,1,0.00153,0,0.0
B8ZZX6,2,0.00306,1,0.00347
K7ENL3,16,0.02446,14,0.04861
K7ENV3,4,0.00612,2,0.00694
NXPH4,1,0.00153,0,0.0
WASF3,1,0.00153,0,0.0
F8W9L4,0,0.0,1,0.00347
K7ESE9,5,0.00765,1,0.00347
F5GWV8,0,0.0,1,0.00347
TPIS,324,0.49541,198,0.6875
A6PVJ6,2,0.00306,2,0.00694
GALT5,13,0.01988,9,0.03125
EPHA2,10,0.01529,4,0.01389
H7BXR2,9,0.01376,7,0.02431
H3BRK9,1,0.00153,0,0.0
E9PCY7,112,0.17125,72,0.25
SNX32,1,0.00153,0,0.0
B5MCI0,11,0.01682,16,0.05556
K7EQG1,7,0.0107,6,0.02083
H7C4W1,32,0.04893,14,0.04861
H0YAL2,3,0.00459,1,0.00347
E7ETD8,80,0.12232,44,0.15278
B1AMT1,1,0.00153,1,0.00347
C9J6M0,4,0.00612,3,0.01042
TRI60,1,0.00153,0,0.0
B4DSH5,0,0.0,1,0.00347
K7EK78,37,0.05657,19,0.06597
HBB,291,0.44495,194,0.67361
COPA,350,0.53517,216,0.75
F5H410,1,0.00153,0,0.0
C9J0T5,1,0.00153,0,0.0
C9JV77,95,0.14526,63,0.21875
CING,100,0.15291,62,0.21528
OR8B2,1,0.00153,0,0.0
A6NHR2,36,0.05505,17,0.05903
F2Z3L0,2,0.00306,2,0.00694
H0Y9Y3,73,0.11162,58,0.20139
H0Y539,23,0.03517,10,0.03472
TM9S2,175,0.26758,97,0.33681
E7ET14,1,0.00153,0,0.0
GALE,127,0.19419,76,0.26389
K7EQQ8,6,0.00917,4,0.01389
NAA25,48,0.07339,33,0.11458
H7BYG8,31,0.0474,14,0.04861
G3V325,6,0.00917,1,0.00347
SMC1A,84,0.12844,52,0.18056
Q5LJA5,36,0.05505,25,0.08681
C9J5C3,58,0.08869,35,0.12153
ZN471,6,0.00917,5,0.01736
E7EQ17,0,0.0,1,0.00347
AIFM1,197,0.30122,114,0.39583
E9PM91,18,0.02752,13,0.04514
OR5T2,1,0.00153,0,0.0
H0Y551,1,0.00153,0,0.0
AAGAB,8,0.01223,6,0.02083
LRIF1,0,0.0,1,0.00347
B8ZZL5,1,0.00153,0,0.0
GFRA1,2,0.00306,0,0.0
A8K1X8,0,0.0,2,0.00694
TGFI1,41,0.06269,18,0.0625
F5H8D5,1,0.00153,1,0.00347
E9PKE4,3,0.00459,1,0.00347
F8WB98,1,0.00153,0,0.0
C9JPZ8,1,0.00153,1,0.00347
CRX,0,0.0,1,0.00347
DUX1,0,0.0,1,0.00347
F8VWP4,1,0.00153,1,0.00347
BCD1,1,0.00153,3,0.01042
B3KQV6,279,0.42661,176,0.61111
SYRM,9,0.01376,8,0.02778
C9J702,1,0.00153,0,0.0
IGLL5,167,0.25535,104,0.36111
DEN4C,12,0.01835,9,0.03125
PHLP,1,0.00153,0,0.0
MAT2B,12,0.01835,14,0.04861
WSCD2,2,0.00306,0,0.0
PHF11,1,0.00153,1,0.00347
E9PEZ5,2,0.00306,1,0.00347
H7C3W7,1,0.00153,0,0.0
RCN3,9,0.01376,6,0.02083
AMOL2,1,0.00153,0,0.0
CEPT1,25,0.03823,13,0.04514
E9PG73,1,0.00153,0,0.0
F5H199,2,0.00306,1,0.00347
H7C472,4,0.00612,0,0.0
C9JFE4,43,0.06575,33,0.11458
C9JVM4,1,0.00153,2,0.00694
A6NKE1,26,0.03976,18,0.0625
DBX1,1,0.00153,0,0.0
DCTN6,1,0.00153,2,0.00694
FA49A,50,0.07645,29,0.10069
H7BZ66,0,0.0,1,0.00347
TRAF7,2,0.00306,0,0.0
C9JFM2,0,0.0,1,0.00347
CDHR4,0,0.0,1,0.00347
D6RAF1,89,0.13609,44,0.15278
H0YBD5,1,0.00153,0,0.0
CYTB,170,0.25994,98,0.34028
CHST2,0,0.0,1,0.00347
Q7Z350,1,0.00153,0,0.0
PSPC1,145,0.22171,96,0.33333
E9PFC1,3,0.00459,5,0.01736
B4DZB7,1,0.00153,0,0.0
CK052,3,0.00459,1,0.00347
ADCK4,3,0.00459,0,0.0
BRI3B,42,0.06422,27,0.09375
B4DDS3,34,0.05199,22,0.07639
AKTS1,4,0.00612,1,0.00347
K7ERC6,6,0.00917,1,0.00347
F8WCF6,147,0.22477,94,0.32639
TFCP2,1,0.00153,1,0.00347
B4E0P7,2,0.00306,1,0.00347
J3KPJ5,1,0.00153,0,0.0
F8W8A6,38,0.0581,19,0.06597
IF4A1,19,0.02905,14,0.04861
AXA2L,375,0.57339,227,0.78819
UBN2,1,0.00153,2,0.00694
1433S,104,0.15902,68,0.23611
ADH1A,1,0.00153,0,0.0
F8WBL2,15,0.02294,12,0.04167
FOXK1,33,0.05046,19,0.06597
D6RDG5,1,0.00153,1,0.00347
SOX,0,0.0,3,0.01042
ILVBL,107,0.16361,78,0.27083
F5GWT9,11,0.01682,16,0.05556
I3L2C9,3,0.00459,0,0.0
B1AHA8,14,0.02141,11,0.03819
A2A3E6,2,0.00306,0,0.0
G3XAC4,5,0.00765,5,0.01736
K7EJ72,1,0.00153,0,0.0
F8W930,130,0.19878,82,0.28472
B4DJF1,1,0.00153,0,0.0
B0QY59,1,0.00153,1,0.00347
E5RK21,9,0.01376,5,0.01736
Q86TV2,19,0.02905,11,0.03819
J3QR55,7,0.0107,7,0.02431
J3KRD7,3,0.00459,3,0.01042
J3KRP5,2,0.00306,0,0.0
C9JYY6,1,0.00153,2,0.00694
CCD22,39,0.05963,26,0.09028
WIPF3,1,0.00153,2,0.00694
RPN1,46,0.07034,31,0.10764
C9J406,24,0.0367,13,0.04514
E9PI59,1,0.00153,0,0.0
C9JMG5,16,0.02446,5,0.01736
SPT25,2,0.00306,1,0.00347
ACM4,1,0.00153,0,0.0
MYO1A,3,0.00459,0,0.0
STBD1,1,0.00153,0,0.0
B1AMX9,20,0.03058,9,0.03125
E7EPG1,2,0.00306,1,0.00347
SUV3,70,0.10703,32,0.11111
DDX50,95,0.14526,56,0.19444
C9JIG9,100,0.15291,66,0.22917
DHSB,155,0.237,94,0.32639
C9JBW0,3,0.00459,0,0.0
MALT1,17,0.02599,8,0.02778
G3V4T3,35,0.05352,20,0.06944
E7EQD5,79,0.1208,47,0.16319
F8VYL0,0,0.0,1,0.00347
B4DUX6,211,0.32263,122,0.42361
HMGN2,65,0.09939,40,0.13889
CPMD8,1,0.00153,0,0.0
AP3S1,34,0.05199,20,0.06944
E5RK35,49,0.07492,35,0.12153
E7ER97,70,0.10703,30,0.10417
E9PQQ5,3,0.00459,4,0.01389
BUB1B,1,0.00153,1,0.00347
C9J2X8,3,0.00459,2,0.00694
PRRC1,93,0.1422,58,0.20139
H0YB78,2,0.00306,3,0.01042
B4DXM1,7,0.0107,2,0.00694
K7EIS6,1,0.00153,0,0.0
SYNEM,13,0.01988,11,0.03819
H0YLA4,177,0.27064,117,0.40625
NEK8,1,0.00153,0,0.0
B7ZAS0,53,0.08104,35,0.12153
E5RFJ0,10,0.01529,16,0.05556
TCHL1,12,0.01835,9,0.03125
ANO5,2,0.00306,0,0.0
C9JF15,5,0.00765,3,0.01042
K7ELV3,10,0.01529,6,0.02083
H0Y7H1,1,0.00153,0,0.0
E9PMZ8,2,0.00306,0,0.0
H0YLW0,1,0.00153,4,0.01389
LIN7C,2,0.00306,1,0.00347
C9JPJ8,1,0.00153,0,0.0
ZBT34,0,0.0,1,0.00347
D6RAL1,5,0.00765,1,0.00347
KAIN,17,0.02599,11,0.03819
D6RHI0,1,0.00153,1,0.00347
K7ELP0,54,0.08257,33,0.11458
C9J7U7,1,0.00153,0,0.0
H0YHD9,1,0.00153,0,0.0
H3BTR0,1,0.00153,1,0.00347
H7BXK5,1,0.00153,2,0.00694
H3BR68,211,0.32263,119,0.41319
C9J6C0,22,0.03364,17,0.05903
B7ZVX9,2,0.00306,1,0.00347
FAAA,7,0.0107,0,0.0
DNJA3,72,0.11009,41,0.14236
H7C3U5,1,0.00153,0,0.0
B4DHZ8,1,0.00153,0,0.0
Q5JVC2,21,0.03211,10,0.03472
H0YK48,17,0.02599,10,0.03472
WDR13,17,0.02599,15,0.05208
C9JVE2,3,0.00459,2,0.00694
C9JDG0,4,0.00612,1,0.00347
Q5JPT1,4,0.00612,3,0.01042
H0YLC6,2,0.00306,0,0.0
TRI68,1,0.00153,0,0.0
H0Y2S8,0,0.0,1,0.00347
PMF1,4,0.00612,4,0.01389
RL29,109,0.16667,60,0.20833
F5H492,2,0.00306,0,0.0
B4DEU5,2,0.00306,2,0.00694
2ABD,0,0.0,1,0.00347
F8W7I9,145,0.22171,90,0.3125
K7EPJ4,1,0.00153,0,0.0
MA7D3,5,0.00765,0,0.0
C9J013,1,0.00153,1,0.00347
C9J1T2,104,0.15902,56,0.19444
ECP,146,0.22324,105,0.36458
E9PSB0,4,0.00612,4,0.01389
B4DKC2,3,0.00459,1,0.00347
F5H6I0,88,0.13456,55,0.19097
FSTL5,2,0.00306,1,0.00347
B7Z2J0,0,0.0,1,0.00347
PBDC1,29,0.04434,16,0.05556
J3KNG9,1,0.00153,1,0.00347
SIR4,3,0.00459,0,0.0
STA5B,6,0.00917,6,0.02083
KDM4B,1,0.00153,0,0.0
H0Y7U4,0,0.0,1,0.00347
B4DWZ5,22,0.03364,7,0.02431
MYT1L,4,0.00612,2,0.00694
H0YF92,4,0.00612,2,0.00694
K7EK53,3,0.00459,1,0.00347
INCE,5,0.00765,2,0.00694
G3V1P9,5,0.00765,3,0.01042
F8WDN3,0,0.0,1,0.00347
F8VSD7,0,0.0,1,0.00347
H7C4P2,0,0.0,1,0.00347
C9JHK9,2,0.00306,3,0.01042
E7ES19,6,0.00917,0,0.0
RPAC1,30,0.04587,19,0.06597
UIMC1,0,0.0,1,0.00347
C9J8Z4,2,0.00306,0,0.0
E9PN19,0,0.0,1,0.00347
KLF10,1,0.00153,0,0.0
F5H1Y3,71,0.10856,47,0.16319
F5GYR3,21,0.03211,24,0.08333
J3QKU9,59,0.09021,35,0.12153
NUMA1,106,0.16208,61,0.21181
TPPC3,9,0.01376,3,0.01042
SYTL2,1,0.00153,1,0.00347
SYNPO,29,0.04434,11,0.03819
MUC6,7,0.0107,6,0.02083
POTEJ,5,0.00765,2,0.00694
J3KS01,0,0.0,1,0.00347
EGF,3,0.00459,1,0.00347
F5H2U1,1,0.00153,0,0.0
B5MCY6,5,0.00765,1,0.00347
EFHC2,0,0.0,3,0.01042
DSCAM,2,0.00306,0,0.0
J3QQZ1,1,0.00153,0,0.0
B9A6K2,5,0.00765,1,0.00347
I3L2J8,4,0.00612,1,0.00347
B4DYE1,0,0.0,1,0.00347
FILA2,1,0.00153,1,0.00347
RBM8A,35,0.05352,22,0.07639
MEX3C,1,0.00153,1,0.00347
K7EIL9,0,0.0,1,0.00347
E9PHM2,74,0.11315,34,0.11806
B4E2H8,42,0.06422,20,0.06944
HMHA1,1,0.00153,2,0.00694
J3KN00,31,0.0474,17,0.05903
H0YH86,12,0.01835,4,0.01389
B0QZK8,17,0.02599,11,0.03819
ATG3,62,0.0948,39,0.13542
TBB4A,149,0.22783,98,0.34028
M0R3C3,15,0.02294,11,0.03819
B4DXI8,96,0.14679,61,0.21181
REEP6,35,0.05352,20,0.06944
H0YDD8,138,0.21101,99,0.34375
J3KPV7,33,0.05046,23,0.07986
E7EP72,6,0.00917,2,0.00694
F8W9X7,18,0.02752,16,0.05556
B1ANE6,0,0.0,1,0.00347
E9PIC1,0,0.0,1,0.00347
FA63A,0,0.0,1,0.00347
H0Y8U5,27,0.04128,18,0.0625
CPSM,52,0.07951,19,0.06597
B4DNK7,0,0.0,1,0.00347
E7ETM7,193,0.29511,114,0.39583
K7ERY7,37,0.05657,29,0.10069
B7Z1Z6,54,0.08257,37,0.12847
NXP20,25,0.03823,16,0.05556
AADAT,1,0.00153,0,0.0
I3L3L4,1,0.00153,1,0.00347
ZN318,6,0.00917,2,0.00694
K7EJD9,6,0.00917,4,0.01389
GSH0,16,0.02446,12,0.04167
CDV3,13,0.01988,13,0.04514
DUS8,1,0.00153,0,0.0
YRDC,2,0.00306,4,0.01389
J3KPK2,0,0.0,1,0.00347
A8MZF9,63,0.09633,50,0.17361
D6R9W6,0,0.0,1,0.00347
K7ELP2,3,0.00459,0,0.0
RUXGL,83,0.12691,50,0.17361
C9JDK5,0,0.0,1,0.00347
H3BMP9,17,0.02599,6,0.02083
RFPL1,0,0.0,2,0.00694
A6PWM2,2,0.00306,3,0.01042
NOC2L,64,0.09786,38,0.13194
BHA15,0,0.0,2,0.00694
BTBD2,1,0.00153,0,0.0
TMC5,3,0.00459,3,0.01042
H7BXZ6,49,0.07492,25,0.08681
CJ111,3,0.00459,2,0.00694
D6RIU5,3,0.00459,3,0.01042
GNAL,3,0.00459,2,0.00694
F8W9Q7,1,0.00153,1,0.00347
F8W9F8,20,0.03058,14,0.04861
IFRD2,1,0.00153,0,0.0
JADE1,2,0.00306,1,0.00347
M0QXM4,40,0.06116,31,0.10764
F5GX74,5,0.00765,2,0.00694
A8MZG1,31,0.0474,21,0.07292
VWC2,5,0.00765,0,0.0
SARG,21,0.03211,13,0.04514
VPS39,4,0.00612,1,0.00347
H1X,86,0.1315,57,0.19792
C9J0M6,0,0.0,1,0.00347
Z354A,0,0.0,2,0.00694
NANO1,1,0.00153,1,0.00347
I3L0X5,3,0.00459,1,0.00347
E7EUP2,23,0.03517,9,0.03125
E5RI85,1,0.00153,0,0.0
B8ZZA3,1,0.00153,0,0.0
A8MTK4,2,0.00306,1,0.00347
H0YJK8,102,0.15596,71,0.24653
CABS1,1,0.00153,0,0.0
H0YHG0,27,0.04128,16,0.05556
H0YKK3,0,0.0,1,0.00347
B4DHB5,0,0.0,1,0.00347
C9JYS8,57,0.08716,34,0.11806
K2C5,2,0.00306,7,0.02431
RABP2,7,0.0107,6,0.02083
CUL5,34,0.05199,16,0.05556
F5GYT3,0,0.0,2,0.00694
C9JR58,0,0.0,1,0.00347
PCDA9,1,0.00153,0,0.0
CUL4A,29,0.04434,22,0.07639
F8VSL3,14,0.02141,11,0.03819
ATP5H,102,0.15596,62,0.21528
C9J6M2,1,0.00153,0,0.0
C9J2U9,0,0.0,1,0.00347
H0Y7R1,1,0.00153,0,0.0
C9IZG1,33,0.05046,18,0.0625
HABP4,21,0.03211,17,0.05903
RPF1,2,0.00306,3,0.01042
F5H125,1,0.00153,1,0.00347
H0YMH7,3,0.00459,1,0.00347
B5MBZ0,163,0.24924,109,0.37847
ATAT,1,0.00153,0,0.0
D6R9S9,1,0.00153,0,0.0
TTK,4,0.00612,3,0.01042
B7WPL0,20,0.03058,15,0.05208
PAXI1,2,0.00306,0,0.0
BSN,4,0.00612,2,0.00694
B0QYK2,2,0.00306,1,0.00347
